histology	Benign	EC	EC	EC	EC	EC	Benign	EC	EC	EC	Benign	EC	EC	EC	EC	EC	EC	EC	EC	Benign	EC	EC	EC	EC	EC	EC	EC	EC	EC
gardnerella	 1905	   12	   23	    4	    1	 3150	   24	    7	    0	 1540	    3	 2851	   19	   13	 2220	    2	    0	  825	   36	 1587	    1	    3	 1121	   16	 3093	   14	    0	17028	    5
atopobium	585	  6	  7	  2	  1	  8	  1	  0	  0	171	  3	 63	 13	  7	928	  5	  0	172	  3	277	  3	  2	  3	  7	  2	 16	  0	  3	 10
parvibacter	48	 2	 0	 0	 0	 2	 0	 0	 0	 3	 0	 0	 2	 1	49	 1	 0	15	 0	 9	 1	 1	 0	 1	 0	 1	 0	 0	 0
bacteroides	   9	 705	  27	   9	   7	  18	   5	  36	   0	  10	   8	   9	  40	 259	   7	   3	  18	  29	 205	  20	  13	   1	  13	 987	   5	2106	   2	 295	  91
barnesiella	  1	  2	  4	  0	  0	 66	  1	  4	  0	  2	  0	  1	  8	  9	  3	  0	  0	  9	 28	 63	  0	  0	  1	  5	  4	162	  0	 35	  4
coprobacter	 0	 0	 0	 0	 0	 0	 0	 4	 0	 0	 0	 0	 0	 1	 0	 0	 0	 1	90	 0	 0	 0	 0	 1	 0	 5	 0	77	15
odoribacter	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 1	 3	 0	 1	 0	 0	 0	 0	23	 0	 1	 0
parabacteroides	  1	  1	  1	  1	  0	  2	  0	  4	  0	  2	  0	  0	  2	  3	  0	  0	  2	  3	 18	  4	  1	  0	  1	124	  0	109	  0	 36	  6
porphyromonas	  23	  13	  13	   4	  46	 209	   3	  19	   0	  12	   5	   1	1292	2288	  10	   3	   3	  43	  14	 118	  10	   2	  13	  25	   3	 524	   2	  24	   9
prevotella	1695	  49	2875	  39	 125	2939	  10	  47	   0	  60	  22	  51	2145	4200	4325	  60	  14	4797	 210	5829	 161	  13	  93	  54	  61	1132	   2	 241	 827
tangfeifania	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	27	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
alistipes	  1	  0	  2	  0	  0	  1	  1	 10	  0	  0	  0	  0	  2	  0	  0	  1	  0	  1	 20	  0	  0	  0	  0	 38	  0	111	  0	 39	  3
fluviicola	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	3	3
flavobacterium	 2	 4	 3	 2	 6	 6	 2	89	 0	 1	 6	 9	11	 0	 3	 4	16	 2	 7	 4	11	 3	 0	 1	10	 4	 6	15	94
gemella	  7	142	  0	  0	  0	  6	  2	  0	  0	  1	  3	  2	  2	  0	  5	  0	  0	  2	  0	  3	  1	  0	  1	  1	  2	  4	  0	  0	  0
staphylococcus	 1	 7	 3	 0	 3	 1	 0	29	 1	 2	 1	 1	 0	 0	 0	 1	30	 0	 2	 0	 1	 0	 2	 0	 0	 0	 0	 8	31
aerococcus	  25	   1	   2	   0	   0	   0	   0	  12	   0	  51	   3	   4	  53	   2	   3	   0	   0	  10	 109	   3	   0	   0	   1	   0	   0	   3	   0	4144	   5
facklamia	 0	 0	 1	 0	13	 0	 0	97	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 3	 1	 4	 0	 1	 0	 0	 2	 0
lactobacillus	    68	     5	    62	     7	     3	  4850	  5502	    48	     0	  3561	  6068	  4840	  2996	    42	    71	  7314	     2	    66	133715	  1297	  5572	  5287	   325	   153	  1508	    95	     0	 49427	    71
streptococcus	    2	   76	  478	   14	    2	   13	    2	  344	    0	    9	    5	   13	   11	   51	   10	    2	    4	    4	  371	    6	    8	    1	    3	  163	    3	   37	    0	42642	 7880
caloramator	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	9	0	1	0
clostridium_sensu_stricto	 2	 0	 1	 0	 0	 2	 0	 2	 0	 0	 0	 0	32	 0	 0	 0	 0	 1	17	 1	53	 0	 0	 2	 0	 2	 0	33	 2
anaerococcus	 16	393	120	 34	 61	304	  1	636	  0	  9	 10	  4	591	422	 12	 23	 12	 11	103	  6	 23	  4	 16	  9	  6	112	  0	163	417
ezakiella	  6	  1	  3	  2	  0	 42	  0	 34	  0	  9	  0	  4	218	354	  1	  4	  2	  6	  6	  3	  6	  0	  6	  5	  1	 19	  0	 19	  3
finegoldia	  0	 98	 25	 13	 38	 12	  0	 44	  0	  8	 12	  3	  4	  3	  1	  2	  5	  3	 55	  2	 32	  0	  6	  7	  4	  9	  0	171	658
gallicola	 1	 3	 0	 0	12	 5	 0	 0	 0	 4	 0	 0	34	 0	 0	 0	 0	 0	 1	 0	 3	 0	 3	 1	 0	 7	 0	 1	 0
murdochiella	 0	 0	 0	 0	15	 0	 0	 3	 0	 2	 0	 0	 0	 1	 0	 0	 6	 0	 6	 0	 0	 0	 0	 0	 0	 0	 0	12	 1
parvimonas	  1	  2	  3	  0	  0	150	  1	 14	  0	  9	  1	  0	 59	104	  3	  1	 17	 18	 23	  0	  4	  0	  0	  5	  0	191	  0	 45	  1
tissierella	 0	 1	 1	 0	 0	17	 0	 3	 0	 2	 1	 0	 7	 2	 1	 0	 0	 0	 4	 0	 0	 0	 0	 0	 1	10	 0	22	 1
eubacterium	 1	 0	 0	 4	 9	 0	 0	 3	 0	 0	 0	 1	 0	 0	 0	 0	 3	 0	11	 0	 0	 0	 0	19	 0	32	 0	17	 5
anaerostipes	  4	  1	  2	  0	  0	  3	  1	  5	  0	  1	  0	  0	  4	  5	  3	  0	 13	  1	  4	  4	  1	  0	  1	706	  0	 16	  0	 12	  3
blautia	  2	  1	  6	  0	  1	  1	  1	  4	  0	  0	  0	  2	  2	  7	  1	  1	 12	  1	 31	  1	  1	  0	  1	250	  0	114	  0	 39	 14
clostridium_xlva	  2	  1	  3	  0	  2	  3	  1	 20	  0	  0	  2	  2	  1	  4	  4	  1	  6	  5	 90	  2	  1	  3	  1	106	  0	 51	  1	129	 13
clostridium_xlvb	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	14	 0	 0	 0	 1	 0	 0	 0	 0	10	 0
coprococcus	 0	 0	 0	 0	 0	 0	 0	 3	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 8	 0	 0	 0	 0	 4	 0	 2	 0	14	 1
dorea	  1	  0	  0	  0	  0	  0	  1	  1	  0	  0	  2	  0	  0	  1	  1	  0	  3	  9	  1	  1	  1	  0	  1	180	  0	 21	  0	  4	  8
fusicatenibacter	  0	  0	  0	  0	  0	  1	  1	  1	  0	  1	  1	  1	  2	  3	  3	  0	  8	  2	  9	  0	  2	  0	  2	176	  0	 62	  0	  8	  5
howardella	 2	 0	 0	 0	 0	 6	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 3	 0	 2	 0	 0	 0	 0	 0	 0	 0	 5	15
hungatella	3	0	4	0	1	2	1	1	0	0	2	2	0	0	1	0	0	2	5	3	2	1	0	9	0	4	0	6	2
lachnospiracea_incertae_sedis	  1	  0	  0	  5	  2	  1	  0	  4	  0	  0	  1	  0	  4	  1	  1	  1	  1	  2	 34	  0	  2	  2	  1	251	  0	 86	  0	 45	  8
moryella	  4	  1	  5	  0	  1	  7	  1	  0	  1	  2	  2	  1	  5	180	  4	  1	  1	  7	  0	  6	  0	  3	  0	 10	  0	 11	  0	  0	  0
parasporobacterium	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 6	 0	 0	 0	 0	 1	 0	 0	 0	12	 4
roseburia	  2	  1	  0	  2	  0	  1	  1	  9	  0	  0	  0	  0	  2	  1	  0	  0	  1	  0	 48	  0	  6	  0	  0	125	  0	 61	  0	 90	 12
ruminococcus2	  1	  5	  1	  0	  0	  0	  0	  5	  0	  0	  1	  1	  3	  0	  1	  0	  5	  0	 13	  1	  1	  0	  0	132	  1	 16	  0	 20	  1
stomatobaculum	 22	  0	  1	  0	  0	 10	  1	  0	  0	  1	  0	  0	147	174	  2	  1	  2	  5	  0	102	  0	  1	  1	  8	  1	  3	  0	  0	  0
peptoniphilus	  12	  57	 111	  18	 101	 167	   2	6370	   0	   6	   7	   1	  72	 182	   5	   9	   8	   7	  81	   4	  15	   1	  10	   7	   3	  71	   0	  98	 244
filifactor	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
peptostreptococcus	  1	  1	 44	  0	  0	  1	  0	  0	  0	  1	  0	  0	  1	161	  1	  0	  0	  1	  2	  7	  0	  0	  0	  0	  1	  3	  0	  8	 41
clostridium_iii	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 1	 0	12	 1	 0	 0	 6	 0	 4	 0	 1	 0	 0	18	 0	 8	 0	 4	 0
clostridium_iv	 0	 0	 0	 0	 0	 0	 0	 5	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	18	 0	 0	 0	 0	12	 0	 5	 0	43	 4
ercella	 67	  3	  0	  0	  1	  5	  0	  0	  0	  2	  1	  2	  7	  1	168	  0	  0	 74	  0	  4	  2	  2	  2	  3	  0	  9	  0	  1	  0
faecalibacterium	  4	  4	  2	  0	  1	  3	  2	  5	  0	  2	  2	  3	  6	  8	  2	  2	 27	  1	 31	  2	  6	  2	 11	611	  0	130	  0	 71	  3
flavonifractor	 0	 0	 1	 0	 0	 1	 0	 1	 0	 1	 0	 0	 1	 0	 0	 1	 0	 0	 3	 0	 0	 0	 0	14	 0	12	 0	15	 0
gemmiger	  0	  3	  1	  0	  0	  2	  0	  3	  0	  0	  1	  0	  0	  0	  0	  0	  6	  0	  4	  0	  0	  1	  0	 57	  1	132	  0	 10	  1
oscillibacter	  1	  0	  0	  2	  0	  0	  1	  9	  0	  0	  0	  0	  1	  0	  1	  0	  4	  0	 23	  0	  1	  0	  0	141	  1	 17	  0	 42	  1
papillibacter	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	15	 0	 0	 0
ruminococcus	 0	 0	 0	 0	 0	 1	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	10	 0	 3	 0	 1	 0	 0	 1	 0	28	 0	 3	 0
saccharofermentans	 595	   1	   4	   1	   0	   7	   4	   1	   0	   4	   3	   1	  13	  10	1220	   2	   1	 633	   1	   0	   6	   3	   0	   9	   1	  10	   0	   0	   1
sporobacter	 1	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 1	 0	 1	 0	 3	 0	 0	 0	 1	 0	 0	 1	 1	25	 0	 0	 0
coprobacillus	 0	 0	 0	 0	 0	 0	 0	 4	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 4	 0	 0	 0	 0	 0	 0	 0	 0	20	 2
turicibacter	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	8	0
acidaminococcus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	7	0	0	0	1	0	0	0	0	6	2
phascolarctobacterium	 0	 0	 0	 0	 0	 0	 0	 4	 0	 0	 1	 1	 0	 1	 1	 0	 2	 0	32	 0	 0	 0	 0	19	 0	 0	 0	47	 1
anaeroglobus	 0	 0	 0	10	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 3	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1
dialister	138	 15	225	  2	 19	161	  2	 14	  0	 90	  9	  3	174	795	207	  4	  6	310	 38	229	 17	  4	 15	  5	163	224	  0	 63	167
megasphaera	 282	   3	   5	   0	   0	  10	   6	   0	   0	   4	   4	   1	  14	  15	1260	   6	   1	1296	  11	 886	   6	   3	   3	   5	   0	  16	   0	   8	   1
negativicoccus	0	1	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	9	0
veillonella	 2	 2	37	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 6	 1	 1	 0	 0	 2	 2	 1	 0	 0	 8	 2	 1	 0	 5	 1
fusobacterium	 0	 0	 0	 0	 0	 0	 0	 7	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	42	 0	 0	 0	 0	 0	 0	 0	 0	85	 7
sneathia	1069	   9	   1	   0	   2	  11	   0	   0	   0	 102	   4	   2	  11	  10	1728	   4	   0	 305	   1	   2	   0	   0	   2	   6	   3	  26	   1	   3	   6
bradyrhizobium	  0	 12	  2	 14	  8	  0	  3	126	  5	  1	  1	  1	  2	  0	  0	  1	 16	  0	  1	  0	  3	  2	  4	  4	  3	  0	 18	  6	105
aestuariispira	 0	 1	 1	 0	 0	 2	 0	 0	 0	 1	 1	 1	 1	 0	 0	 0	 3	 1	 0	 0	 0	 1	 1	 1	 1	97	 0	 0	 0
sphingomonas	  0	  0	  0	  0	  0	  0	  0	330	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  3	  0	  0	  0	  0	  0	  0	  1	  0	 14	285
oligella	 0	 0	 0	 0	11	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 4	 0	 0	 0	 0	 0	 0	 0	 0
polynucleobacter	 0	 0	 0	 1	 1	 0	 0	13	 0	 0	 0	 0	 3	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 9
parasutterella	 2	 0	 0	 0	 1	 3	 0	14	 0	 0	 1	 0	 1	 1	 0	 0	 2	 1	25	 0	 0	 0	 3	 1	 1	92	 0	35	11
bilophila	 0	 0	 0	 0	 0	 0	 0	 8	 0	 0	 2	 0	 1	 0	 0	 0	 0	 2	11	 0	 0	 0	 1	 1	 0	38	 0	17	 1
campylobacter	   9	  12	  29	   8	   0	 225	   1	1108	   0	  20	   2	   1	 626	  65	   4	   4	   6	  10	  19	  10	  22	   0	  18	   7	   1	 198	   0	  32	 110
helicobacter	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	15	 0	 0	 0	 0	 0	 0	 0	 0	17	 2
escherichia/shigella	 0	 5	 1	 2	 0	 0	 0	 5	 0	 0	 0	 0	 0	 2	 0	 0	 3	 0	38	 1	 0	 0	 0	71	 1	 1	 2	30	 2
yersinia	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 1	 2	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	14
haemophilus	  2	  3	  0	  0	  0	  0	  0	  0	  0	  1	  0	  8	  1	  1	  1	  0	  0	  0	  5	  0	  1	  0	  0	124	  0	  0	  0	  6	  2
ureaplasma	  5	  0	331	  1	  0	155	308	  0	  0	  7	  2	  0	709	  5	  8	  3	  0	  5	  2	  7	  2	  3	  1	  9	  0	  8	  0	  0	  0
akkermansia	 0	 0	 1	 1	 0	 0	 0	 6	 0	 1	 0	 0	 0	 0	 0	 0	 3	 0	39	 1	 0	 0	 0	89	 0	23	 0	25	 8
prosthecobacter	  0	  0	  1	  0	  0	  0	  0	119	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	  0	  0	  0	  0	  0	  0	  0	  7	112
